zillaID,constituencyID,constituency_name
4,125,ঝালোকাঠি-১
4,126,ঝালোকাঠি-২
5,111,পটুয়াখালী-১
5,112,পটুয়াখালী-২
5,113,পটুয়াখালী-৩
5,114,পটুয়াখালী-৪
6,127,পিরোজপুর-১
6,128,পিরোজপুর-২
6,129,পিরোজপুর-৩
1,109,বরগুনা-১
1,110,বরগুনা-২
2,119,বরিশাল-১
2,120,বরিশাল-২
2,121,বরিশাল-৩
2,122,বরিশাল-৪
2,123,বরিশাল-৫
2,124,বরিশাল-৬
3,115,ভোলা-১
3,116,ভোলা-২
3,117,ভোলা-৩
3,118,ভোলা-৪
7,300,বান্দারবান
8,278,চট্রগ্রাম-১
8,279,চট্রগ্রাম-২
8,280,চট্রগ্রাম-৩
8,281,চট্রগ্রাম-৪
8,282,চট্রগ্রাম-৫
8,283,চট্রগ্রাম-৬
8,284,চট্রগ্রাম-৭
8,285,চট্রগ্রাম-৮
8,286,চট্রগ্রাম-৯
8,287,চট্রগ্রাম-১০
8,288,চট্রগ্রাম-১১
8,289,চট্রগ্রাম-১২
8,290,চট্রগ্রাম-১৩
8,291,চট্রগ্রাম-১৪
8,292,চট্রগ্রাম-১৫
8,293,চট্রগ্রাম-১৬
9,294,কক্সবাজার-১
9,295,কক্সবাজার-২
9,296,কক্সবাজার-৩
9,297,কক্সবাজার-৪
10,298,খাগড়াছড়ি
11,299,রাঙ্গামাটি
12,243,ব্রাক্ষণবাড়িয়া-১
12,244,ব্রাক্ষণবাড়িয়া-২
12,245,ব্রাক্ষণবাড়িয়া-৩
12,246,ব্রাক্ষণবাড়িয়া-৪
12,247,ব্রাক্ষণবাড়িয়া-৫
12,248,ব্রাক্ষণবাড়িয়া-৬
13,260,চাঁদপুর-১
13,261,চাঁদপুর-২
13,262,চাঁদপুর-৩
13,263,চাঁদপুর-৪
13,264,চাঁদপুর-৫
14,265,ফেনী-১
14,266,ফেনী-২
14,267,ফেনী-৩
15,268,নোয়াখালী-১
15,269,নোয়াখালী-২
15,270,নোয়াখালী-৩
15,271,নোয়াখালী-৪
15,272,নোয়াখালী-৫
15,273,নোয়াখালী-৬
16,274,লক্ষীপুর-১
16,275,লক্ষীপুর-২
16,276,লক্ষীপুর-৩
16,277,লক্ষীপুর-৪
17,249,কুমিল্লা-১
17,250,কুমিল্লা-২
17,251,কুমিল্লা-৩
17,252,কুমিল্লা-৪
17,253,কুমিল্লা-৫
17,254,কুমিল্লা-৬
17,255,কুমিল্লা-৭
17,256,কুমিল্লা-৮
17,257,কুমিল্লা-৯
17,258,কুমিল্লা-১০
17,259,কুমিল্লা-১১
50,168,মানিকগঞ্জ-১
50,169,মানিকগঞ্জ-২
50,170,মানিকগঞ্জ-৩
51,171,মুন্সিগঞ্জ-১
51,172,মুন্সিগঞ্জ-২
51,173,মুন্সিগঞ্জ-৩
52,194,গাজীপুর-১
52,195,গাজীপুর-২
52,196,গাজীপুর-৩
52,197,গাজীপুর-৪
52,198,গাজীপুর-৫
53,199,নরসিংদী-১
53,200,নরসিংদী-২
53,201,নরসিংদী-৩
53,202,নরসিংদী-৪
53,203,নরসিংদী-৫
54,204,নারায়ণগঞ্জ-১
54,205,নারায়ণগঞ্জ-২
54,206,নারায়ণগঞ্জ-৩
54,207,নারায়ণগঞ্জ-৪
54,208,নারায়ণগঞ্জ-৫
55,174,ঢাকা-১
55,175,ঢাকা-২
55,176,ঢাকা-৩
55,177,ঢাকা-৪
55,178,ঢাকা-৫
55,179,ঢাকা-৬
55,180,ঢাকা-৭
55,181,ঢাকা-৮
55,182,ঢাকা-৯
55,183,ঢাকা-১০
55,184,ঢাকা-১১
55,185,ঢাকা-১২
55,186,ঢাকা-১৩
55,187,ঢাকা-১৪
55,188,ঢাকা-১৫
55,189,ঢাকা-১৬
55,190,ঢাকা-১৭
55,191,ঢাকা-১৮
55,192,ঢাকা-১৯
55,193,ঢাকা-২০
56,215,গোপালগঞ্জ-১
56,216,গোপালগঞ্জ-২
56,217,গোপালগঞ্জ-৩
59,209,রাজবাড়ী-১
59,210,রাজবাড়ী-২
57,218,মাদারিপুর-১
57,219,মাদারিপুর-২
57,220,মাদারীপুর-৩
58,221,শরীয়তপুর-১
58,222,শরীয়তপুর-২
58,223,শরীয়তপুর-৩
60,211,ফরিদপুর-১
60,212,ফরিদপুর-২
60,213,ফরিদপুর-৩
60,214,ফরিদপুর-৪
44,130,টাংগাইল-১
44,131,টাংগাইল-২
44,132,টাংগাইল-৩
44,133,টাংগাইল-৪
44,134,টাংগাইল-৫
44,135,টাংগাইল-৬
44,136,টাংগাইল-৭
44,137,টাংগাইল-৮
49,162,কিশোরগঞ্জ-১
49,163,কিশোরগঞ্জ-২
49,164,কিশোরগঞ্জ-৩
49,165,কিশোরগঞ্জ-৪
49,166,কিশোরগঞ্জ-৫
49,167,কিশোরগঞ্জ-৬
34,73,মেহেরপুর-১
34,74,মেহেরপুর-২
35,75,কুষ্টিয়া-১
35,76,কুষ্টিয়া-২
35,77,কুষ্টিয়া-৩
35,78,কুষ্টিয়া-৪
36,79,চুয়াডাঙ্গা-১
36,80,চুয়াডাঙ্গা-২
37,81,ঝিনাইদহ-১
37,82,ঝিনাইদহ-২
37,83,ঝিনাইদহ-৩
37,84,ঝিনাইদহ-৪
38,85,যশোর-১
38,86,যশোর-২
38,87,যশোর-৩
38,88,যশোর-৪
38,89,যশোর-৫
38,90,যশোর-৬
39,91,মাগুড়া-১
39,92,মাগুড়া-২
40,93,নড়াইল-১
40,94,নড়াইল-২
41,95,বাগেরহাট-১
41,96,বাগেরহাট-২
41,97,বাগেরহাট-৩
41,98,বাগেরহাট-৪
42,99,খুলনা-১
42,100,খুলনা-২
42,101,খুলনা-৩
42,102,খুলনা-৪
42,103,খুলনা-৫
42,104,খুলনা-৬
43,105,সাতক্ষীরা-১
43,106,সাতক্ষীরা-২
43,107,সাতক্ষীরা-৩
43,108,সাতক্ষীরা-৪
45,138,জামালপুর-১
45,139,জামালপুর-২
45,140,জামালপুর-৩
45,141,জামালপুর-৪
45,142,জামালপুর-৫
46,143,শেরপুর-১
46,144,শেরপুর-২
46,145,শেরপুর-৩
47,146,ময়মনসিংহ-১
47,147,ময়মনসিংহ-২
47,148,ময়মনসিংহ-৩
47,149,ময়মনসিংহ-৪
47,150,ময়মনসিংহ-৫
47,151,ময়মনসিংহ-৬
47,152,ময়মনসিংহ-৭
47,153,ময়মনসিংহ-৮
47,154,ময়মনসিংহ-৯
47,155,ময়মনসিংহ-১০
47,156,ময়মনসিংহ-১১
48,157,নেত্রকোণা-১
48,158,নেত্রকোণা-২
48,159,নেত্রকোণা-৩
48,160,নেত্রকোণা-৪
48,161,নেত্রকোণা-৫
18,1,পঞ্চগড়-১
18,2,পঞ্চগড়-২
19,3,ঠাকুরগাঁও-১
19,4,ঠাকুরগাঁও-২
19,5,ঠাকুরগাঁও-৩
20,6,দিনাজপুর-১
20,7,দিনাজপুর-২
20,8,দিনাজপুর-৩
20,9,দিনাজপুর-৪
20,10,দিনাজপুর-৫
20,11,দিনাজপুর-৬
21,12,নীলফামারী-১
21,13,নীলফামারী-২
21,14,নীলফামারী-৩
21,15,নীলফামারী-৪
22,16,লালমনিরহাট-১
22,17,লালমনিরহাট-২
22,18,লালমনিরহাট-৩
23,19,রংপুর-১
23,20,রংপুর-২
23,21,রংপুর-৩
23,22,রংপুর-৪
23,23,রংপুর-৫
23,24,রংপুর-৬
24,25,কুড়িগ্রাম-১
24,26,কুড়িগ্রাম-২
24,27,কুড়িগ্রাম-৩
24,28,কুড়িগ্রাম-৪
25,29,গাইবান্ধা-১
25,30,গাইবান্ধা-২
25,31,গাইবান্ধা-৩
25,32,গাইবান্ধা-৪
25,33,গাইবান্ধা-৫
61,224,সুনামগঞ্জ-১
61,225,সুনামগঞ্জ-২
61,226,সুনামগঞ্জ-৩
61,227,সুনামগঞ্জ-৪
61,228,সুনামগঞ্জ-৫
62,229,সিলেট-১
62,230,সিলেট-২
62,231,সিলেট-৩
62,232,সিলেট-৪
62,233,সিলেট-৫
62,234,সিলেট-৬
63,235,মৌলভীবাজার-১
63,236,মৌলভীবাজার-২
63,237,মৌলভীবাজার-৩
63,238,মৌলভীবাজার-৪
64,239,হবিগঞ্জ-১
64,240,হবিগঞ্জ-২
64,241,হবিগঞ্জ-৩
64,242,হবিগঞ্জ-৪
33,68,পাবনা-১
33,69,পাবনা-২
33,70,পাবনা-৩
33,71,পাবনা-৪
33,72,পাবনা-৫
26,34,জয়পুরহাট-১
26,35,জয়পুরহাট-২
27,36,বগুড়া-১
27,37,বগুড়া-২
27,38,বগুড়া-৩
27,39,বগুড়া-৪
27,40,বগুড়া-৫
27,41,বগুড়া-৬
27,42,বগুড়া-৭
28,43,চাঁপাইনবাবগঞ্জ-১
28,44,চাঁপাইনবাবগঞ্জ-২
28,45,চাঁপাইনবাবগঞ্জ-৩
29,46,নওগাঁ-১
29,47,নওগাঁ-২
29,48,নওগাঁ-৩
29,49,নওগাঁ-৪
29,50,নওগাঁ-৫
29,51,নওগাঁ-৬
30,52,রাজশাহী-১
30,53,রাজশাহী-২
30,54,রাজশাহী-৩
30,55,রাজশাহী-৪
30,56,রাজশাহী-৫
30,57,রাজশাহী-৬
31,58,নাটোর-১
31,59,নাটোর-২
31,60,নাটোর-৩
31,61,নাটোর-৪
32,62,সিরাজগঞ্জ-১
32,63,সিরাজগঞ্জ-২
32,64,সিরাজগঞ্জ-৩
32,65,সিরাজগঞ্জ-৪
32,66,সিরাজগঞ্জ-৫
32,67,সিরাজগঞ্জ-৬
